storm_name,year,date,time,wind_power,air_pressure,storm_type,lat,long,Ocean
BORIS,2020,6/24/2020,6:00:00 AM,29,1008.0,Tropical Depression,10.0,-131.9,Central Pacific
BORIS,2020,6/24/2020,9:00:00 AM,31,1007.0,Tropical Depression,10.1,-132.29,Central Pacific
BORIS,2020,6/24/2020,12:00:00 PM,35,1007.0,Tropical Depression,10.2,-132.7,Central Pacific
BORIS,2020,6/24/2020,3:00:00 PM,35,1007.0,Tropical Depression,10.31,-133.15,Central Pacific
BORIS,2020,6/24/2020,6:00:00 PM,35,1007.0,Tropical Depression,10.4,-133.6,Central Pacific
BORIS,2020,6/24/2020,9:00:00 PM,35,1007.0,Tropical Depression,10.46,-134.02,Central Pacific
BORIS,2020,6/25/2020,12:00:00 AM,35,1007.0,Tropical Depression,10.5,-134.4,Central Pacific
BORIS,2020,6/25/2020,3:00:00 AM,35,1007.0,Tropical Depression,10.49,-134.75,Central Pacific
BORIS,2020,6/25/2020,6:00:00 AM,35,1007.0,Tropical Depression,10.5,-135.1,Central Pacific
BORIS,2020,6/25/2020,9:00:00 AM,35,1007.0,Tropical Depression,10.58,-135.49,Central Pacific
BORIS,2020,6/25/2020,12:00:00 PM,35,1007.0,Tropical Depression,10.7,-135.9,Central Pacific
BORIS,2020,6/25/2020,3:00:00 PM,37,1006.0,Tropical Depression,10.84,-136.35,Central Pacific
BORIS,2020,6/25/2020,6:00:00 PM,40,1005.0,Tropical Storm,11.0,-136.8,Central Pacific
BORIS,2020,6/25/2020,9:00:00 PM,40,1005.0,Tropical Storm,11.15,-137.23,Central Pacific
BORIS,2020,6/26/2020,12:00:00 AM,40,1005.0,Tropical Storm,11.3,-137.6,Central Pacific
BORIS,2020,6/26/2020,3:00:00 AM,37,1005.0,Tropical Storm,11.45,-137.88,Central Pacific
BORIS,2020,6/26/2020,6:00:00 AM,35,1006.0,Tropical Depression,11.6,-138.1,Central Pacific
BORIS,2020,6/26/2020,9:00:00 AM,35,1006.0,Tropical Depression,11.75,-138.31,Central Pacific
BORIS,2020,6/26/2020,12:00:00 PM,35,1006.0,Tropical Depression,11.9,-138.5,Central Pacific
BORIS,2020,6/26/2020,3:00:00 PM,35,1006.0,Tropical Depression,12.06,-138.69,Central Pacific
BORIS,2020,6/26/2020,6:00:00 PM,35,1006.0,Tropical Depression,12.2,-138.9,Central Pacific
BORIS,2020,6/26/2020,9:00:00 PM,35,1006.0,Tropical Depression,12.32,-139.14,Central Pacific
BORIS,2020,6/27/2020,12:00:00 AM,35,1006.0,Tropical Depression,12.4,-139.4,Central Pacific
BORIS,2020,6/27/2020,3:00:00 AM,35,1006.0,Tropical Depression,12.42,-139.65,Central Pacific
BORIS,2020,6/27/2020,6:00:00 AM,35,1007.0,Tropical Depression,12.4,-139.9,Central Pacific
BORIS,2020,6/27/2020,9:00:00 AM,35,1007.0,Tropical Depression,12.41,-140.14,Central Pacific
BORIS,2020,6/27/2020,12:00:00 PM,35,1007.0,Tropical Depression,12.4,-140.4,Central Pacific
BORIS,2020,6/27/2020,3:00:00 PM,35,1007.0,Tropical Depression,12.36,-140.69,Central Pacific
BORIS,2020,6/27/2020,6:00:00 PM,35,1007.0,Tropical Depression,12.3,-141.0,Central Pacific
BORIS,2020,6/27/2020,9:00:00 PM,31,1007.0,Tropical Depression,12.27,-141.34,Central Pacific
BORIS,2020,6/28/2020,12:00:00 AM,29,1008.0,Tropical Low,12.2,-141.7,Central Pacific
BORIS,2020,6/28/2020,3:00:00 AM,29,1008.0,Tropical Low,12.07,-142.09,Central Pacific
BORIS,2020,6/28/2020,6:00:00 AM,29,1008.0,Tropical Low,11.9,-142.5,Central Pacific
BORIS,2020,6/28/2020,9:00:00 AM,29,1008.0,Tropical Low,11.7,-142.94,Central Pacific
BORIS,2020,6/28/2020,12:00:00 PM,29,1008.0,Tropical Low,11.5,-143.4,Central Pacific
BORIS,2020,6/28/2020,3:00:00 PM,29,1008.0,Tropical Low,11.33,-143.89,Central Pacific
BORIS,2020,6/28/2020,6:00:00 PM,29,1008.0,Tropical Low,11.2,-144.4,Central Pacific
BORIS,2020,6/28/2020,9:00:00 PM,29,1008.0,Tropical Low,11.1,-144.94,Central Pacific
BORIS,2020,6/29/2020,12:00:00 AM,29,1008.0,Tropical Low,11.0,-145.5,Central Pacific
BORIS,2020,6/29/2020,3:00:00 AM,29,1008.0,Tropical Low,10.86,-146.04,Central Pacific
BORIS,2020,6/29/2020,6:00:00 AM,29,1008.0,Tropical Low,10.7,-146.6,Central Pacific
BORIS,2020,6/29/2020,9:00:00 AM,29,1008.0,Tropical Low,10.52,-147.21,Central Pacific
BORIS,2020,6/29/2020,12:00:00 PM,29,1008.0,Tropical Low,10.3,-147.8,Central Pacific
BORIS,2020,6/29/2020,3:00:00 PM,29,1008.0,Tropical Low,10.05,-148.32,Central Pacific
BORIS,2020,6/29/2020,6:00:00 PM,29,1008.0,Tropical Low,9.8,-148.8,Central Pacific
BORIS,2020,6/29/2020,9:00:00 PM,29,1008.0,Tropical Low,9.59,-149.26,Central Pacific
BORIS,2020,6/30/2020,12:00:00 AM,29,1008.0,Tropical Low,9.4,-149.7,Central Pacific
BORIS,2020,6/30/2020,3:00:00 AM,29,1008.0,Tropical Low,9.2,-150.15,Central Pacific
BORIS,2020,6/30/2020,6:00:00 AM,29,1009.0,Tropical Low,9.0,-150.6,Central Pacific
DOUGLAS,2020,7/20/2020,12:00:00 AM,35,1008.0,Tropical Depression,14.7,-118.8,Central Pacific
DOUGLAS,2020,7/20/2020,3:00:00 AM,35,1008.0,Tropical Depression,14.5,-118.96,Central Pacific
DOUGLAS,2020,7/20/2020,6:00:00 AM,35,1008.0,Tropical Depression,14.3,-119.1,Central Pacific
DOUGLAS,2020,7/20/2020,9:00:00 AM,35,1008.0,Tropical Depression,14.1,-119.23,Central Pacific
DOUGLAS,2020,7/20/2020,12:00:00 PM,35,1008.0,Tropical Depression,13.9,-119.4,Central Pacific
DOUGLAS,2020,7/20/2020,3:00:00 PM,37,1007.0,Tropical Depression,13.68,-119.65,Central Pacific
DOUGLAS,2020,7/20/2020,6:00:00 PM,40,1006.0,Tropical Storm,13.5,-120.0,Central Pacific
DOUGLAS,2020,7/20/2020,9:00:00 PM,43,1005.0,Tropical Storm,13.39,-120.45,Central Pacific
DOUGLAS,2020,7/21/2020,12:00:00 AM,46,1004.0,Tropical Storm,13.3,-121.0,Central Pacific
DOUGLAS,2020,7/21/2020,3:00:00 AM,52,1002.0,Tropical Storm,13.17,-121.63,Central Pacific
DOUGLAS,2020,7/21/2020,6:00:00 AM,58,1001.0,Tropical Storm,13.0,-122.3,Central Pacific
DOUGLAS,2020,7/21/2020,9:00:00 AM,60,999.0,Tropical Storm,12.81,-122.96,Central Pacific
DOUGLAS,2020,7/21/2020,12:00:00 PM,63,998.0,Tropical Storm,12.6,-123.6,Central Pacific
DOUGLAS,2020,7/21/2020,3:00:00 PM,63,998.0,Tropical Storm,12.38,-124.2,Central Pacific
DOUGLAS,2020,7/21/2020,6:00:00 PM,63,998.0,Tropical Storm,12.2,-124.8,Central Pacific
DOUGLAS,2020,7/21/2020,9:00:00 PM,63,998.0,Tropical Storm,12.14,-125.44,Central Pacific
DOUGLAS,2020,7/22/2020,12:00:00 AM,63,998.0,Tropical Storm,12.1,-126.1,Central Pacific
DOUGLAS,2020,7/22/2020,3:00:00 AM,63,998.0,Tropical Storm,11.96,-126.79,Central Pacific
DOUGLAS,2020,7/22/2020,6:00:00 AM,63,998.0,Tropical Storm,11.8,-127.5,Central Pacific
DOUGLAS,2020,7/22/2020,9:00:00 AM,66,997.0,Tropical Storm,11.65,-128.2,Central Pacific
DOUGLAS,2020,7/22/2020,12:00:00 PM,69,996.0,Tropical Storm,11.6,-128.9,Central Pacific
DOUGLAS,2020,7/22/2020,3:00:00 PM,75,992.0,Tropical Storm,11.7,-129.59,Central Pacific
DOUGLAS,2020,7/22/2020,6:00:00 PM,81,989.0,Category 1 Hurricane,11.9,-130.3,Central Pacific
DOUGLAS,2020,7/22/2020,9:00:00 PM,86,985.0,Category 1 Hurricane,12.08,-131.04,Central Pacific
DOUGLAS,2020,7/23/2020,12:00:00 AM,92,981.0,Category 1 Hurricane,12.3,-131.8,Central Pacific
DOUGLAS,2020,7/23/2020,3:00:00 AM,104,974.0,Category 2 Hurricane,12.54,-132.54,Central Pacific
DOUGLAS,2020,7/23/2020,6:00:00 AM,115,967.0,Category 3 Major Hurricane,12.8,-133.3,Central Pacific
DOUGLAS,2020,7/23/2020,9:00:00 AM,117,965.0,Category 3 Major Hurricane,13.05,-134.09,Central Pacific
