storm_name,year,Ocean,date,time,wind_power,air_pressure,storm_type,lat,long
ANA,2021,Atlantic Ocean,5/22/2021,5:00:00 AM,46,1006,Subtropical Storm,34.20,-62.20
ANA,2021,Atlantic Ocean,5/22/2021,8:00:00 AM,46,1006,Subtropical Storm,34.20,-62.50
ANA,2021,Atlantic Ocean,5/22/2021,11:00:00 AM,46,1006,Subtropical Storm,34.30,-63.00
ANA,2021,Atlantic Ocean,5/22/2021,5:00:00 PM,40,1007,Subtropical Storm,34.50,-62.40
ANA,2021,Atlantic Ocean,5/22/2021,11:00:00 PM,46,1006,Subtropical Storm,35.00,-61.40
ANA,2021,Atlantic Ocean,5/23/2021,5:00:00 AM,46,1006,Tropical Storm,35.70,-60.50
ANA,2021,Atlantic Ocean,5/23/2021,11:00:00 AM,40,1007,Tropical Storm,36.60,-59.40
ANA,2021,Atlantic Ocean,5/23/2021,5:00:00 PM,35,1008,Tropical Depression,37.50,-57.70
ANA,2021,Atlantic Ocean,5/23/2021,11:00:00 PM,40,1007,Post-Tropical Cyclone,38.30,-55.20
BILL,2021,Atlantic Ocean,6/14/2021,11:00:00 AM,35,1006,Tropical Depression,35.00,-73.70
BILL,2021,Atlantic Ocean,6/14/2021,5:00:00 PM,35,1006,Tropical Depression,35.50,-72.00
BILL,2021,Atlantic Ocean,6/14/2021,11:00:00 PM,46,1003,Tropical Storm,36.70,-69.80
BILL,2021,Atlantic Ocean,6/15/2021,5:00:00 AM,52,999,Tropical Storm,38.50,-67.20
BILL,2021,Atlantic Ocean,6/15/2021,11:00:00 AM,58,998,Tropical Storm,40.50,-62.00
BILL,2021,Atlantic Ocean,6/15/2021,5:00:00 PM,58,998,Tropical Storm,41.60,-59.60
BILL,2021,Atlantic Ocean,6/15/2021,11:00:00 PM,52,1002,Post-Tropical Cyclone,43.50,-57.00
CLAUDETTE,2021,Atlantic Ocean,6/17/2021,4:00:00 PM,29,1008,Potential Tropical Cyclone,22.90,-92.40
CLAUDETTE,2021,Atlantic Ocean,6/17/2021,7:00:00 PM,29,1007,Potential Tropical Cyclone,23.20,-92.30
CLAUDETTE,2021,Atlantic Ocean,6/17/2021,10:00:00 PM,29,1007,Potential Tropical Cyclone,23.50,-92.20
CLAUDETTE,2021,Atlantic Ocean,6/18/2021,1:00:00 AM,35,1007,Potential Tropical Cyclone,24.00,-92.00
