storm_name,year,date,time,wind_power,air_pressure,storm_type,lat,long,Ocean
ANDRES,2021,05/09/2021,3:00:00 AM,35.0,1006.0,Tropical Depression,13.8,-107.7,East Pacific
ANDRES,2021,05/09/2021,9:00:00 AM,40.0,1005.0,Tropical Storm,14.1,-107.9,East Pacific
ANDRES,2021,05/09/2021,3:00:00 PM,40.0,1005.0,Tropical Storm,14.0,-108.5,East Pacific
ANDRES,2021,05/09/2021,9:00:00 PM,40.0,1005.0,Tropical Storm,14.3,-109.0,East Pacific
ANDRES,2021,05/10/2021,3:00:00 AM,40.0,1005.0,Tropical Storm,14.7,-109.1,East Pacific
ANDRES,2021,05/10/2021,9:00:00 AM,40.0,1005.0,Tropical Storm,15.4,-109.4,East Pacific
ANDRES,2021,05/10/2021,3:00:00 PM,35.0,1006.0,Tropical Depression,16.0,-109.8,East Pacific
ANDRES,2021,05/10/2021,9:00:00 PM,35.0,1006.0,Tropical Depression,15.9,-110.3,East Pacific
ANDRES,2021,05/11/2021,3:00:00 AM,29.0,1007.0,Tropical Depression,15.9,-111.0,East Pacific
ANDRES,2021,05/11/2021,9:00:00 AM,29.0,1007.0,Post-Tropical Cyclone,15.8,-111.4,East Pacific
BLANCA,2021,5/30/2021,4:00:00 PM,35.0,1006.0,Tropical Depression,11.3,-103.8,East Pacific
BLANCA,2021,5/30/2021,10:00:00 PM,35.0,1006.0,Tropical Depression,11.8,-105.2,East Pacific
BLANCA,2021,5/31/2021,3:00:00 AM,35.0,1007.0,Tropical Depression,12.2,-106.6,East Pacific
BLANCA,2021,5/31/2021,9:00:00 AM,35.0,1006.0,Tropical Depression,12.4,-107.7,East Pacific
BLANCA,2021,5/31/2021,3:00:00 PM,46.0,1003.0,Tropical Storm,13.5,-108.9,East Pacific
BLANCA,2021,5/31/2021,9:00:00 PM,58.0,998.0,Tropical Storm,13.9,-109.4,East Pacific
BLANCA,2021,06/01/2021,3:00:00 AM,58.0,998.0,Tropical Storm,14.2,-109.6,East Pacific
BLANCA,2021,06/01/2021,9:00:00 AM,58.0,999.0,Tropical Storm,14.3,-110.2,East Pacific
BLANCA,2021,06/01/2021,3:00:00 PM,52.0,1001.0,Tropical Storm,14.7,-110.9,East Pacific
BLANCA,2021,06/01/2021,9:00:00 PM,52.0,1001.0,Tropical Storm,14.9,-111.6,East Pacific
BLANCA,2021,06/02/2021,3:00:00 AM,46.0,1002.0,Tropical Storm,15.0,-112.0,East Pacific
BLANCA,2021,06/02/2021,9:00:00 AM,46.0,1003.0,Tropical Storm,15.5,-112.2,East Pacific
BLANCA,2021,06/02/2021,3:00:00 PM,35.0,1005.0,Tropical Depression,15.5,-112.8,East Pacific
BLANCA,2021,06/02/2021,9:00:00 PM,35.0,1005.0,Tropical Depression,15.4,-113.2,East Pacific
BLANCA,2021,06/03/2021,3:00:00 AM,35.0,1006.0,Tropical Depression,15.6,-113.5,East Pacific
BLANCA,2021,06/03/2021,9:00:00 AM,35.0,1005.0,Tropical Depression,15.7,-114.0,East Pacific
BLANCA,2021,06/03/2021,3:00:00 PM,35.0,1005.0,Tropical Depression,15.5,-114.3,East Pacific
BLANCA,2021,06/03/2021,9:00:00 PM,29.0,1006.0,Tropical Depression,15.7,-114.6,East Pacific
BLANCA,2021,06/04/2021,2:00:00 AM,29.0,1007.0,Post-Tropical Cyclone,16.3,-115.6,East Pacific
CARLOS,2021,06/12/2021,2:00:00 PM,35.0,1006.0,Tropical Depression,11.8,-123.6,East Pacific
CARLOS,2021,06/12/2021,8:00:00 PM,40.0,1005.0,Tropical Storm,11.9,-124.5,East Pacific
CARLOS,2021,6/13/2021,2:00:00 AM,46.0,1002.0,Tropical Storm,11.9,-125.3,East Pacific
CARLOS,2021,6/13/2021,8:00:00 AM,52.0,1000.0,Tropical Storm,11.8,-126.0,East Pacific
CARLOS,2021,6/13/2021,2:00:00 PM,52.0,1000.0,Tropical Storm,11.7,-126.6,East Pacific
CARLOS,2021,6/13/2021,8:00:00 PM,46.0,1001.0,Tropical Storm,11.6,-127.1,East Pacific
CARLOS,2021,6/14/2021,2:00:00 AM,40.0,1004.0,Tropical Storm,11.4,-127.8,East Pacific
CARLOS,2021,6/14/2021,8:00:00 AM,40.0,1004.0,Tropical Storm,11.3,-128.6,East Pacific
CARLOS,2021,6/14/2021,2:00:00 PM,35.0,1007.0,Tropical Depression,10.9,-130.0,East Pacific
CARLOS,2021,6/14/2021,8:00:00 PM,35.0,1007.0,Tropical Depression,10.5,-130.8,East Pacific
CARLOS,2021,6/15/2021,2:00:00 AM,35.0,1007.0,Tropical Depression,10.1,-131.8,East Pacific
CARLOS,2021,6/15/2021,8:00:00 AM,35.0,1007.0,Tropical Depression,10.0,-132.6,East Pacific
CARLOS,2021,6/15/2021,2:00:00 PM,35.0,1008.0,Tropical Depression,9.8,-133.5,East Pacific
CARLOS,2021,6/15/2021,5:00:00 PM,35.0,1007.0,Tropical Depression,9.6,-134.2,East Pacific
CARLOS,2021,6/15/2021,11:00:00 PM,35.0,1007.0,Tropical Depression,9.2,-135.0,East Pacific
CARLOS,2021,6/16/2021,8:00:00 AM,29.0,1008.0,Post-Tropical Cyclone,8.6,-135.3,East Pacific
DOLORES,2021,6/18/2021,4:00:00 AM,35.0,1005.0,Tropical Depression,14.4,-101.6,East Pacific
DOLORES,2021,6/18/2021,7:00:00 AM,35.0,1005.0,Tropical Depression,14.5,-102.0,East Pacific
DOLORES,2021,6/18/2021,10:00:00 AM,40.0,1004.0,Tropical Storm,14.7,-102.5,East Pacific
DOLORES,2021,6/18/2021,1:00:00 PM,40.0,1004.0,Tropical Storm,15.1,-102.1,East Pacific
DOLORES,2021,6/18/2021,4:00:00 PM,46.0,1000.0,Tropical Storm,15.6,-102.3,East Pacific
DOLORES,2021,6/18/2021,7:00:00 PM,52.0,998.0,Tropical Storm,15.9,-102.5,East Pacific
DOLORES,2021,6/18/2021,10:00:00 PM,52.0,998.0,Tropical Storm,16.3,-102.8,East Pacific
DOLORES,2021,6/19/2021,1:00:00 AM,52.0,998.0,Tropical Storm,16.4,-102.9,East Pacific
DOLORES,2021,6/19/2021,4:00:00 AM,58.0,995.0,Tropical Storm,17.0,-103.1,East Pacific
DOLORES,2021,6/19/2021,7:00:00 AM,63.0,994.0,Tropical Storm,17.9,-103.4,East Pacific
DOLORES,2021,6/19/2021,10:00:00 AM,69.0,990.0,Tropical Storm,18.6,-103.7,East Pacific
DOLORES,2021,6/19/2021,1:00:00 PM,58.0,996.0,Tropical Storm,19.5,-103.9,East Pacific
DOLORES,2021,6/19/2021,4:00:00 PM,52.0,999.0,Tropical Storm,20.3,-104.1,East Pacific
DOLORES,2021,6/19/2021,7:00:00 PM,35.0,1001.0,Tropical Depression,21.3,-104.2,East Pacific
DOLORES,2021,6/19/2021,10:00:00 PM,29.0,1001.0,Tropical Depression,22.3,-104.3,East Pacific
DOLORES,2021,6/20/2021,4:00:00 AM,23.0,1008.0,Remnants Of,23.5,-103.7,East Pacific
ENRIQUE,2021,6/25/2021,4:00:00 AM,40.0,1005.0,Tropical Storm,15.0,-101.7,East Pacific
ENRIQUE,2021,6/25/2021,10:00:00 AM,46.0,1004.0,Tropical Storm,15.6,-102.5,East Pacific
ENRIQUE,2021,6/25/2021,1:00:00 PM,52.0,1002.0,Tropical Storm,15.7,-102.8,East Pacific
ENRIQUE,2021,6/25/2021,4:00:00 PM,52.0,1002.0,Tropical Storm,15.9,-103.3,East Pacific
ENRIQUE,2021,6/25/2021,7:00:00 PM,63.0,996.0,Tropical Storm,16.1,-103.8,East Pacific
ENRIQUE,2021,6/25/2021,10:00:00 PM,63.0,995.0,Tropical Storm,16.3,-104.1,East Pacific
ENRIQUE,2021,6/26/2021,1:00:00 AM,69.0,992.0,Tropical Storm,16.5,-104.3,East Pacific
ENRIQUE,2021,6/26/2021,4:00:00 AM,75.0,988.0,Category 1 Hurricane,16.7,-104.7,East Pacific
ENRIQUE,2021,6/26/2021,7:00:00 AM,75.0,988.0,Category 1 Hurricane,16.8,-105.0,East Pacific
ENRIQUE,2021,6/26/2021,10:00:00 AM,86.0,982.0,Category 1 Hurricane,17.1,-105.3,East Pacific
ENRIQUE,2021,6/26/2021,1:00:00 PM,86.0,982.0,Category 1 Hurricane,17.2,-105.6,East Pacific
ENRIQUE,2021,6/26/2021,4:00:00 PM,86.0,980.0,Category 1 Hurricane,17.3,-105.9,East Pacific
ENRIQUE,2021,6/26/2021,7:00:00 PM,86.0,980.0,Category 1 Hurricane,17.1,-105.9,East Pacific
ENRIQUE,2021,6/26/2021,10:00:00 PM,86.0,980.0,Category 1 Hurricane,17.3,-105.9,East Pacific
ENRIQUE,2021,6/27/2021,1:00:00 AM,86.0,980.0,Category 1 Hurricane,17.5,-106.0,East Pacific
ENRIQUE,2021,6/27/2021,3:00:00 AM,92.0,977.0,Category 1 Hurricane,17.6,-106.0,East Pacific
ENRIQUE,2021,6/27/2021,6:00:00 AM,92.0,977.0,Category 1 Hurricane,17.9,-105.9,East Pacific
ENRIQUE,2021,6/27/2021,10:00:00 AM,92.0,977.0,Category 1 Hurricane,18.2,-105.9,East Pacific
ENRIQUE,2021,6/27/2021,1:00:00 PM,92.0,977.0,Category 1 Hurricane,18.8,-105.7,East Pacific
ENRIQUE,2021,6/27/2021,4:00:00 PM,92.0,977.0,Category 1 Hurricane,19.0,-105.7,East Pacific
ENRIQUE,2021,6/27/2021,7:00:00 PM,92.0,977.0,Category 1 Hurricane,19.4,-105.8,East Pacific
ENRIQUE,2021,6/27/2021,9:00:00 PM,92.0,975.0,Category 1 Hurricane,19.6,-106.0,East Pacific
ENRIQUE,2021,6/28/2021,12:00:00 AM,92.0,975.0,Category 1 Hurricane,19.8,-106.1,East Pacific
ENRIQUE,2021,6/28/2021,3:00:00 AM,92.0,975.0,Category 1 Hurricane,20.0,-106.3,East Pacific
ENRIQUE,2021,6/28/2021,6:00:00 AM,92.0,975.0,Category 1 Hurricane,20.2,-106.6,East Pacific
ENRIQUE,2021,6/28/2021,9:00:00 AM,86.0,977.0,Category 1 Hurricane,20.4,-106.7,East Pacific
ENRIQUE,2021,6/28/2021,12:00:00 PM,81.0,979.0,Category 1 Hurricane,20.6,-107.1,East Pacific
ENRIQUE,2021,6/28/2021,3:00:00 PM,69.0,982.0,Tropical Storm,20.7,-107.3,East Pacific
ENRIQUE,2021,6/28/2021,6:00:00 PM,63.0,988.0,Tropical Storm,20.9,-107.3,East Pacific
ENRIQUE,2021,6/28/2021,9:00:00 PM,58.0,992.0,Tropical Storm,21.1,-107.4,East Pacific
ENRIQUE,2021,6/29/2021,12:00:00 AM,52.0,995.0,Tropical Storm,21.3,-107.4,East Pacific
ENRIQUE,2021,6/29/2021,3:00:00 AM,52.0,995.0,Tropical Storm,21.6,-107.6,East Pacific
ENRIQUE,2021,6/29/2021,6:00:00 AM,52.0,996.0,Tropical Storm,22.0,-107.7,East Pacific
ENRIQUE,2021,6/29/2021,9:00:00 AM,40.0,1001.0,Tropical Storm,22.5,-107.6,East Pacific
ENRIQUE,2021,6/29/2021,12:00:00 PM,40.0,1001.0,Tropical Storm,22.9,-108.0,East Pacific
ENRIQUE,2021,6/29/2021,3:00:00 PM,40.0,1003.0,Tropical Storm,23.2,-108.3,East Pacific
ENRIQUE,2021,6/29/2021,9:00:00 PM,40.0,1003.0,Tropical Storm,23.8,-109.1,East Pacific
ENRIQUE,2021,6/30/2021,3:00:00 AM,40.0,1003.0,Tropical Storm,24.2,-109.6,East Pacific
ENRIQUE,2021,6/30/2021,9:00:00 AM,35.0,1005.0,Tropical Depression,24.6,-110.0,East Pacific
ENRIQUE,2021,6/30/2021,3:00:00 PM,23.0,1010.0,Remnants Of,24.5,-110.3,East Pacific
Felicia,2021,7/14/2021,3:00:00 AM,35.0,1006.0,Tropical Depression,14.2,-112.8,East Pacific
Felicia,2021,7/14/2021,7:15:00 AM,46.0,1004.0,Tropical Storm,14.1,-113.6,East Pacific
Felicia,2021,7/14/2021,9:00:00 AM,52.0,1002.0,Tropical Storm,14.3,-114.1,East Pacific
Felicia,2021,7/14/2021,2:00:00 PM,63.0,998.0,Tropical Storm,14.8,-115.3,East Pacific
Felicia,2021,7/14/2021,8:00:00 PM,69.0,994.0,Tropical Storm,15.1,-116.7,East Pacific
Felicia,2021,7/15/2021,2:00:00 AM,86.0,986.0,Category 1 Hurricane,15.2,-117.6,East Pacific
Felicia,2021,7/15/2021,8:00:00 AM,92.0,984.0,Category 1 Hurricane,15.2,-118.6,East Pacific
Felicia,2021,7/15/2021,2:00:00 PM,98.0,979.0,Category 2 Hurricane,15.2,-119.4,East Pacific
Felicia,2021,7/15/2021,8:00:00 PM,109.0,971.0,Category 2 Hurricane,15.2,-120.2,East Pacific
Felicia,2021,7/16/2021,2:00:00 AM,115.0,968.0,Category 3 Major Hurricane,15.1,-121.0,East Pacific
Felicia,2021,7/16/2021,8:00:00 AM,127.0,962.0,Category 3 Major Hurricane,15.0,-121.6,East Pacific
Felicia,2021,7/16/2021,11:00:00 AM,132.0,955.0,Category 4 Major Hurricane,14.9,-122.4,East Pacific
Felicia,2021,7/16/2021,5:00:00 PM,132.0,954.0,Category 4 Major Hurricane,14.8,-123.2,East Pacific
Felicia,2021,7/16/2021,11:00:00 PM,132.0,954.0,Category 4 Major Hurricane,14.5,-123.9,East Pacific
Felicia,2021,7/17/2021,3:30:00 AM,144.0,947.0,Category 4 Major Hurricane,14.5,-124.3,East Pacific
Felicia,2021,7/17/2021,5:00:00 AM,144.0,947.0,Category 4 Major Hurricane,14.6,-124.6,East Pacific
Felicia,2021,7/17/2021,11:00:00 AM,144.0,947.0,Category 4 Major Hurricane,14.9,-125.3,East Pacific
Felicia,2021,7/17/2021,5:00:00 PM,138.0,949.0,Category 4 Major Hurricane,15.2,-126.1,East Pacific
Felicia,2021,7/17/2021,11:00:00 PM,138.0,949.0,Category 4 Major Hurricane,15.5,-127.1,East Pacific
Felicia,2021,7/18/2021,5:00:00 AM,132.0,954.0,Category 4 Major Hurricane,15.7,-128.1,East Pacific
Felicia,2021,7/18/2021,11:00:00 AM,121.0,961.0,Category 3 Major Hurricane,16.0,-129.0,East Pacific
Felicia,2021,7/18/2021,5:00:00 PM,109.0,971.0,Category 2 Hurricane,16.3,-130.1,East Pacific
Felicia,2021,7/18/2021,11:00:00 PM,98.0,979.0,Category 2 Hurricane,16.4,-131.0,East Pacific
Felicia,2021,7/19/2021,5:00:00 AM,81.0,990.0,Category 1 Hurricane,16.3,-132.3,East Pacific
Felicia,2021,7/19/2021,11:00:00 AM,63.0,1000.0,Tropical Storm,16.1,-133.4,East Pacific
Felicia,2021,7/19/2021,5:00:00 PM,52.0,1003.0,Tropical Storm,16.1,-134.8,East Pacific
Felicia,2021,7/19/2021,11:00:00 PM,46.0,1005.0,Tropical Storm,15.9,-136.3,East Pacific
Felicia,2021,7/20/2021,5:00:00 AM,40.0,1006.0,Tropical Storm,15.8,-138.0,East Pacific
Felicia,2021,7/20/2021,11:00:00 AM,35.0,1008.0,Tropical Depression,15.3,-139.4,East Pacific
Felicia,2021,7/20/2021,5:00:00 PM,35.0,1008.0,Post-Tropical Cyclone,14.9,-140.9,East Pacific
Guillermo,2021,7/17/2021,9:00:00 AM,35.0,1007.0,Tropical Depression,16.8,-109.2,East Pacific
Guillermo,2021,7/17/2021,3:00:00 PM,40.0,1004.0,Tropical Storm,17.1,-110.1,East Pacific
Guillermo,2021,7/17/2021,9:00:00 PM,40.0,1004.0,Tropical Storm,17.5,-111.1,East Pacific
Guillermo,2021,7/18/2021,3:00:00 AM,52.0,1000.0,Tropical Storm,17.6,-111.6,East Pacific
Guillermo,2021,7/18/2021,9:00:00 AM,52.0,1000.0,Tropical Storm,17.9,-112.5,East Pacific
Guillermo,2021,7/18/2021,3:00:00 PM,58.0,999.0,Tropical Storm,18.7,-113.8,East Pacific
Guillermo,2021,7/18/2021,5:00:00 PM,52.0,1001.0,Tropical Storm,18.9,-115.6,East Pacific
Guillermo,2021,7/18/2021,11:00:00 PM,46.0,1003.0,Tropical Storm,18.8,-116.8,East Pacific
Guillermo,2021,7/19/2021,5:00:00 AM,40.0,1005.0,Tropical Storm,19.1,-117.8,East Pacific
Guillermo,2021,7/19/2021,2:00:00 PM,35.0,1007.0,Tropical Depression,19.3,-119.8,East Pacific
Guillermo,2021,7/19/2021,8:00:00 PM,35.0,1007.0,Tropical Depression,19.3,-122.0,East Pacific
Guillermo,2021,7/20/2021,2:00:00 AM,35.0,1007.0,Tropical Depression,19.0,-123.4,East Pacific
Guillermo,2021,7/20/2021,8:00:00 AM,35.0,1007.0,Tropical Depression,19.2,-125.0,East Pacific
Guillermo,2021,7/20/2021,2:00:00 PM,35.0,1007.0,Post-Tropical Cyclone,18.7,-126.5,East Pacific
Hilda,2021,7/30/2021,3:00:00 PM,46.0,1003.0,Tropical Storm,12.1,-113.6,East Pacific
Hilda,2021,7/30/2021,9:00:00 PM,46.0,1003.0,Tropical Storm,13.2,-114.6,East Pacific
Hilda,2021,7/31/2021,2:00:00 AM,52.0,1002.0,Tropical Storm,13.3,-115.7,East Pacific
Hilda,2021,7/31/2021,8:00:00 AM,69.0,994.0,Tropical Storm,13.7,-116.7,East Pacific
Hilda,2021,7/31/2021,2:00:00 PM,69.0,994.0,Tropical Storm,14.1,-117.9,East Pacific
Hilda,2021,7/31/2021,8:00:00 PM,86.0,985.0,Category 1 Hurricane,14.3,-118.7,East Pacific
