,years,storms,hurricanes,death,damanged_usd
0,2018,15,8,173,"50,205"
1,2017,17,10,3364,"294,67"
2,2016,15,7,748,"17,490"
3,2015,12,4,89,>590
4,2014,9,6,17,232
5,2013,13,2,47,"1,510"
6,2012,19,10,199,"75,000+"
7,2011,19,7,100,"21,000"
8,2010,21,12,287,"12,356"
9,2009,11,3,6,77
10,2008,16,8,761,"24,945"
11,2007,15,6,341,50
12,2006,10,5,5,500
13,2005,28,15,"3,483","115,520"
14,2004,15,9,"3,126","45,235"
15,2003,16,7,50,"3,580"
16,2002,12,4,23,"1,220"
17,2001,15,9,92,"5,260"
18,2000,15,8,30,26
19,1999,12,8,78,"5,532"
20,1998,14,10,"9,715","3,165"
21,1997,8,3,4,100
22,1996,13,9,126,"3,600"
23,1995,19,11,117,"3,729"
24,1994,7,3,"1,175",973
25,1993,8,4,267,57
26,1992,7,4,26,"26,500"
27,1991,8,4,0,"1,500"
28,1990,13,8,123,57
29,1989,11,7,56,"7,670"
30,1988,12,5,555,59
31,1987,7,3,0,1
32,1986,6,4,9,17
33,1985,10,7,210,"3,725"
34,1984,13,5,35,66
35,1983,4,3,21,"2,000"
36,1982,6,2,138,2
37,1981,12,7,0,25
38,1980,11,9,259,300
39,1979,9,5,"2,069","3,050"
40,1978,12,5,0,20
41,1977,6,5,0,10
42,1976,10,6,68,100
43,1975,9,6,80,490
44,1974,11,4,"8,002",150
45,1973,8,4,16,18
46,1972,7,3,129,"2,102"
47,1971,13,6,30,212
48,1970,10,5,51,454
49,1969,18,12,259,"1,421"
50,1968,8,4,0,11
51,1967,8,6,59,200
52,1966,11,7,"1,090",15
53,1965,6,4,76,"1,445"
54,1964,12,6,255,515
55,1963,9,7,"8,000",13
56,1962,5,3,0,2
57,1961,11,8,321,406
58,1960,7,4,148,393
59,1959,11,7,0,22
60,1958,10,7,37,11
61,1957,8,3,630,152
62,1956,8,4,61,25
63,1955,12,9,"1,210",960
64,1954,11,8,"1,199",781
65,1953,14,6,0,1
66,1952,7,6,600,3
67,1951,10,8,259,0
68,1950,13,11,26,31
69,1949,13,7,0,59
70,1948,9,6,80,18
71,1947,9,5,51,136
72,1946,6,3,0,12
73,1945,11,5,26,80
74,1944,11,7,"1,140",165
75,1943,10,5,0,17
76,1942,10,4,0,27
77,1941,6,4,50,8
78,1940,8,4,50,9
79,1939,5,3,0,0
80,1938,8,3,682,306
81,1937,9,3,0,0
82,1936,16,7,0,2
83,1935,6,5,"2,683",12
84,1934,11,6,"3,000",4
85,1933,21,10,531,31
86,1932,11,6,"3,404",8
87,1931,9,2,"2,500",0
88,1930,2,2,"8,000",0
89,1929,3,3,0,1
90,1928,6,4,"3,411",0
91,1927,7,4,184,0
92,1926,11,8,"1,370",137
93,1925,4,2,60,0
94,1924,11,5,100,0
95,1923,9,4,0,0
96,1922,5,3,0,0
97,1921,7,5,131,3
98,1920,5,4,0,1
99,1919,5,2,600,22
100,1918,6,4,34,5
101,1917,4,2,0,0
102,1916,15,10,137,33
103,1915,6,5,684,63
104,1914,1,0,0,0
105,1913,6,4,135,3
106,1912,7,4,200,0
107,1911,6,3,25,1
108,1910,5,3,101,1
109,1909,11,6,"2,058",8
110,1908,10,6,0,0
111,1907,5,0,0,0
112,1906,11,6,327,4
113,1905,5,1,0,0
114,1904,5,3,0,2
115,1903,10,7,245,1
116,1902,5,3,0,0
117,1901,12,5,0,1
118,1900,7,3,"12,000",30
119,1899,9,5,"3,433",0
120,1898,11,5,562,0
121,1897,6,3,45,0
122,1896,7,6,130,0
123,1895,6,2,56,0
124,1894,7,5,200,0
125,1893,12,10,"4,500",0
126,1892,9,5,0,0
127,1891,10,7,703,0
128,1890,4,2,0,0
129,1889,9,6,40,0
130,1888,9,6,921,0
131,1887,19,11,0,0
132,1886,12,10,178,0
133,1885,8,6,25,0
134,1884,4,4,0,0
135,1883,4,3,236,0
136,1882,6,5,140,0
137,1881,7,4,700,0
138,1880,11,9,128,0
