,storm_name,year,date,time,wind_power,air_pressure,storm_type,lat,long
0, CEMPAKA ,2021,07/06/2021,12:00:00 PM,55,990, Tropical Depression ,,
1, CHAMPI ,2021,6/13/2021,12:00:00 PM,65,980, Tropical Depression ,,
2,CHAMPI,2021,6/21/2021,10:00:00 AM,35,,Tropical Depression,11.2,147.4
3,CHAMPI,2021,6/21/2021,4:00:00 PM,35,,Tropical Depression,11.8,146.5
4,CHAMPI,2021,6/21/2021,10:00:00 PM,35,,Tropical Depression,12.1,145.3
5,CHAMPI,2021,6/22/2021,3:00:00 AM,35,,Tropical Depression,12.6,144.5
6,CHAMPI,2021,6/22/2021,9:00:00 AM,35,,Tropical Depression,13.3,143.4
7,CHAMPI,2021,6/22/2021,3:00:00 PM,40,,Tropical Storm,13.9,142.5
8,CHAMPI,2021,6/22/2021,9:00:00 PM,40,,Tropical Storm,14.3,141.5
9,CHAMPI,2021,6/23/2021,3:00:00 AM,35,,Tropical Depression,14.6,140.8
10,CHAMPI,2021,6/23/2021,9:00:00 AM,35,,Tropical Depression,15,140.1
11,CHAMPI,2021,6/23/2021,3:00:00 PM,46,,Tropical Storm,17.1,140.5
12,CHAMPI,2021,6/23/2021,9:00:00 PM,46,,Tropical Storm,18.2,140.7
13,CHAMPI,2021,6/24/2021,3:00:00 AM,40,,Tropical Storm,18.7,140.2
14,CHAMPI,2021,6/24/2021,9:00:00 AM,46,,Tropical Storm,18.6,140
15,CHAMPI,2021,6/24/2021,3:00:00 PM,52,,Tropical Storm,19.3,140
16,CHAMPI,2021,6/24/2021,9:00:00 PM,52,,Tropical Storm,19.8,139.7
17,CHAMPI,2021,6/25/2021,3:00:00 AM,63,,Tropical Storm,20.3,139.6
18,CHAMPI,2021,6/25/2021,9:00:00 AM,69,,Tropical Storm,21.1,139.4
19,CHAMPI,2021,6/25/2021,3:00:00 PM,75,,Typhoon,22.1,139.2
20,CHAMPI,2021,6/25/2021,9:00:00 PM,75,,Typhoon,23,139.5
21,CHAMPI,2021,6/26/2021,3:00:00 AM,75,,Typhoon,23.7,139.7
22,CHAMPI,2021,6/26/2021,9:00:00 AM,75,,Typhoon,24.8,139.7
23,CHAMPI,2021,6/26/2021,3:00:00 PM,69,,Tropical Storm,26,140
24,CHAMPI,2021,6/26/2021,9:00:00 PM,63,,Tropical Storm,27,140.3
25,CHAMPI,2021,6/27/2021,3:00:00 AM,46,,Tropical Storm,28.2,140.8
26,CHAMPI,2021,6/27/2021,9:00:00 AM,40,,Tropical Storm,29.8,141.6
27,CHAMPI,2021,6/27/2021,3:00:00 PM,40,,Tropical Storm,31.9,142.5
28, CHANTHU ,2021,9/23/2021,12:00:00 PM,115,905, Tropical Depression ,,
