,Storm Name,Year,Dates Active,Storm Category,Max min wind,Min Pressures,Damage USD,Deaths
0,Able,1950,August 12 – 22,Category 3 hurricane,125 (205),953,$1.041 million,11
1,Baker,1950,August 18 – September 1,Category 2 hurricane,105 (165),978,$2.55 million,38
2,Charlie,1950,August 21 – September 5,Category 2 hurricane,110 (175),974,None,None
3,Dog,1950,August 30 – September 12,Category 4 hurricane,145 (230),943,$3 million,26 (5)
4,Easy,1950,September 1 – 9,Category 3 hurricane,125 (205),958,$3.3 million,0 (2)
5,Fox,1950,September 8 – 17,Category 4 hurricane,140 (220),948,None,None
6,George,1950,September 27 – October 5,Category 2 hurricane,110 (175),960,None,None
7,How,1950,October 1 – 4,Tropical storm,45 (75),1007,None,None
8,Item,1950,October 8 – 11,Category 2 hurricane,105 (165),976,$1.5 million,None
9,Jig,1950,October 11 – 16,Category 3 hurricane,115 (185),987,None,None
10,King,1950,October 13 – 20,Category 4 hurricane,130 (215),955,$32 million,11
11,Unnamed,1950,October 17 – 24,Tropical storm,70 (110),1001,None,None
12,Love,1950,October 18 – 22,Category 1 hurricane,80 (130),987,Minimal,None
13,Mike,1950,October 25 – 28,Tropical storm,45 (75),1008,None,None
14,Unnamed,1950,October 27 – 29,Tropical storm,50 (85),1010,None,None
15,Unnamed,1950,November 10 – 12,Tropical storm,70 (110),1001,None,None
16,Brenda,1955,July 31 – August 3,Tropical storm,70 (110),998,Minimal,2
17,Connie,1955,August 3 – 15,Category 4 hurricane,140 (220),944,$86 million,74
18,Diane,1955,August 7 – 21,Category 2 hurricane,105 (165),969,$754.7 million,≥184
19,Edith,1955,August 21 – 31,Category 2 hurricane,100 (155),967,None,None
20,Five,1955,August 25 – 28,Tropical storm,45 (75),1000,Minimal,None
21,Flora,1955,September 2 – 9,Category 2 hurricane,105 (165),967,None,None
22,Gladys,1955,September 3 – 6,Category 1 hurricane,90 (150),996,$500 thousand,None
23,Ione,1955,September 10 – 21,Category 4 hurricane,140 (220),938,$88 million,7
24,Hilda,1955,September 12 – 20,Category 3 hurricane,125 (205),952,$120 million,304
25,Janet,1955,September 21 – 30,Category 5 hurricane,175 (280),914,$65.8 million,"1,023"
26,Eleven,1955,September 23 – 27,Tropical storm,45 (75),1012,None,None
27,Twelve,1955,October 10 – 14,Tropical storm,65 (100),995,None,None
28,Katie,1955,October 14 – 19,Category 2 hurricane,110 (175),984,$200 thousand,7
29,One,1960,June 22 – 28,Tropical storm,60 (95),1000,$3.6 million,18
30,Abby,1960,July 9 – 17,Category 1 hurricane,80 (130),995,"$640,000",6
31,Brenda,1960,July 27 – 31,Tropical storm,70 (110),991,$5 million,1
32,Cleo,1960,August 17 – 21,Category 1 hurricane,85 (140),995,Minimal,None
33,Donna,1960,August 29 – September 13,Category 4 hurricane,145 (230),930,$400 million,428
34,Six,1960,September 1 – 3,Tropical storm,45 (75),1009,None,None
35,Ethel,1960,September 12 – 17,Category 3 hurricane,115 (185),974,$1.5 million,1
